name,category,sub_category,description,rating,harga_min,harga_max,image_url,latitude,longitude,google_maps,tahun_buka
Aksara Hotel by Aruna Group,hotel,-,Aksara Hotel menawarkan penginapan dengan fasilitas modern dan desain elegan. Lokasinya cukup strategis untuk perjalanan bisnis maupun wisata.,4.9,800000,1000000,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH1aEn2rfnmIoAVGYu2iXyCNWT5IH4L5748sBY-QkxAmY-IgjqBdaH60br72FDcgKThvqOa--3ahdeLExpAXFlRgWO-502oUHjOtIbJE0P6IaQVKNZeAaldSQUFxycuA82Wup_lkzm26ceO=w408-h544-k-no,-6.8732515,107.6069229,https://www.google.com/maps/search/?api=1&query=Aksara+Hotel+by+Aruna+Group+Bandung,2026
Artisan Coffee,cafe,-,Artisan Coffee adalah coffee shop yang fokus pada kopi berkualitas dengan teknik brewing modern. Tempat ini populer di kalangan pecinta kopi.,4.7,25000,50000,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFVZrhp98vQiyWz70JDHYXoIh8ocxHVV_oAtfF6lGC4ISRNpQB8PAROuDmHNN9J1xiyTUAWQGdYuG3oxqS7_Nq8gRs07Nj7cVUCd4emcQFzkiCluky6Ep7ia_aLki1B_iur8eprED6yVS0u=w408-h306-k-no,-6.8732192,107.6069388,https://www.google.com/maps/search/?api=1&query=Artisan+Coffee+Bandung,2026
B.LOW Listening Coffee,cafe,-,"B.Low Listening Coffee merupakan coffee shop dengan konsep listening bar, di mana musik menjadi bagian utama pengalaman pengunjung.",4.4,50000,75000,https://lh3.googleusercontent.com/gps-cs-s/APNQkAENFJ6agSEi1hOKYhzPZfG3bLpV5gdK4AxbQhMeAEfxh1RyjPry3NosExjMwZTOGbE4gNiVBQAJDlWLoBN0SteYGeF17tlY4fUXoQpU_AhD7TCMqzPSM8ixKXyxRoG9MA5tnCvyYWY3KyUB=w408-h612-k-no,-6.9438715,107.6296096,https://www.google.com/maps/search/?api=1&query=B.LOW+Listening+Coffee+Bandung,2026
Bolen Tjihapit,kuliner,belanja,Bolen Tjihapit adalah toko kue yang terkenal dengan bolen pisang khas Bandung. Produk ini sering dijadikan oleh-oleh.,4.6,50000,75000,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHlKEUgbKyek5XFm-CX_ESBKTZMZ6bTWFeN2TOJrZOjVjNiSo31PlbFRNAmPTv4iW1pFab5OsS7VydBdbvMhXmQsZOskfMcwmf2etoX1d6B7fgXpWdCpnc1bklJfIenxuZtp9HCT6wSffoc=w408-h655-k-no,-6.8990643,107.5544726,https://www.google.com/maps/search/?api=1&query=Bolen+Tjihapit+Bandung,2026
Brother Chang,kuliner,-,"Brother Chang adalah restoran yang mengusung perpaduan cita rasa Asia dengan kisah inspiratif tentang keluarga dan kerja keras, resmi dibuka pada 22 Januari 2026 di Jl. Dipatiukur No. 73, Bandung. Menunya lintas Asia — dari Indonesia, Malaysia, Singapura, Vietnam, Thailand, hingga sentuhan Jepang dan Korea — disajikan di ruang yang luas bergaya homey dengan dekorasi seni khas Asia.",4.8,75000,175000,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEXw3hWEwzeULUEj05A1oj2chupNlKkREc-Mc688gdxz52mNfvYxvqpEnZiD3C1ZYTqo-KMNuoD-AvRnPHJiaE0_VnMBm-tMsl44DwY03KRTpUzkwh3iDByRxUmJSY4ccMBBg0lO6FOISM=w408-h544-k-no,-6.8888849,107.6155648,https://www.google.com/maps/search/?api=1&query=Brother+Chang+Bandung,2026
Buns Ceramics & The Pavlove Rooms,hiburan,-,Buns Ceramics & The Pavlove Rooms adalah ruang kreatif yang menggabungkan workshop keramik dengan kafe serta photobooth buat mengabadikan harimu!,4.9,25000,50000,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF4dxfgBncK1da4M3cg4Ybq4MsB_6_Ard7whRBFADVrJO-JNvSrDZLInlJDMX8m-7fsPrPpG-4pHv2O2uLe6Nq8y88Ub5Tm2xIRONWwz0XrhAhMgC923uFehKoi2Ds9jkq8nkjOo9Oxy2we=w408-h544-k-no,-6.9066286,107.5882673,https://www.google.com/maps/search/?api=1&query=Buns+Ceramics+&+The+Pavlove+Rooms+Bandung,2026
Chime In,cafe,-,Chime In adalah coffee shop dengan suasana cozy yang menyediakan berbagai minuman kopi dan non-kopi. Tempat ini cocok untuk bekerja maupun bersantai.,4.8,25000,50000,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH8ElDtyBcu5sWUzolB0lUA8eo4KhmIEgoK8JvdR8zIvP143SAp629IwP3wTd8KUdgdJLKPqUkpjnVTXnAkpZv7TqniqWB7ITJ1hGNAPQGVog-m1Ttb2CAmOSNnvuobOWsujyi6zXajMoY=w426-h240-k-no,-6.8697782,107.6319363,https://www.google.com/maps/search/?api=1&query=Chime+In+Bandung,2026
Doroti,kuliner,-,Roti Doroti adalah bakery yang menyajikan berbagai roti dan pastry dengan rasa manis dan gurih.,5.0,25000,50000,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFL3Vyl2jBtdtUlVisu8U4x1-AiwVDjWY1PRZO8eNtW2NbqZAYHdtKlmFa-OD2jZ-VZK1d5vX9twGzEkSnawmcoWLiZtjm-BJjx-PryNfsPbbvbib_JLPExAlTB4pfTncAOJ06CtbIUqlQC=w408-h306-k-no,-6.9031782,107.6158313,https://www.google.com/maps/search/?api=1&query=Doroti+Bandung,2026
Heng 88 Bubur Mandarin & Batagor Special,kuliner,-,Heng 88 merupakan tempat makan yang menyajikan hidangan khas Chinese-Indonesian dengan rasa autentik. Tempat ini cukup populer di kalangan pecinta kuliner.,4.8,25000,50000,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHA3TbhuLwzsFE3xh6CNr54xIdSX1I8tlWR6d6nlcP7Mm2cFxg3vZX1NYRHuDeSyz4jvS6leNgzjvfxltzmEINVL_B0SQPqhty3kkUz94h9P9Ey_kaCTYDFdNqfjedQPVWOGl7w-O_PHZIq=w408-h544-k-no,-6.9059432,107.613232,https://www.google.com/maps/search/?api=1&query=Heng+88+Bubur+Mandarin+&+Batagor+Special+Bandung,2026
Kintsugi Teras kemuning,cafe,kuliner,Kintsugi Teras Kemuning adalah kafe dengan konsep Jepang modern yang menghadirkan suasana tenang dan estetika minimalis.,4.4,50000,75000,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGvk4nSPxHc0ie7OqA5mq5hCixFE4jWHth0MIuPBgDCIwR2nGk8BrM3bgi1A7THB_dxRvfIrkGpYosbEqQAbysZziGh-g2tidWpjVcB90zztgbxTXZjkT3CvLuw92eHI7JJWr89XJS7wVN1=w408-h544-k-no,-6.9153146,107.63,https://www.google.com/maps/search/?api=1&query=Kintsugi+Teras+kemuning+Bandung,2026
