name,category,sub_category,description,rating,harga_min,harga_max,image_url,latitude,longitude,google_maps,tahun_buka
Naughty Neighbors,cafe,kuliner,Kafe hits di Bandung dengan suasana cozy dan menu beragam yang sedang viral di kalangan anak muda. Cocok untuk nongkrong santai dengan berbagai pilihan makanan dan minuman kekinian.,5.0,50000,100000,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGptBEczzTunD3gVyAIcTvEjobI-CrYDMNBepKzrMO2iqGHIKE8kb8ewTusCNW-Nrz2Dob-ZRydXUMlkSCudk-5_b1MxiZNhJOxD6XbqwhL-kh2av139AzvsBLnbWD84dj_ccmS9KTB7dT0=w408-h510-k-no,-6.8974723,107.6170081,https://www.google.com/maps/search/?api=1&query=Naughty+Neighbors+Bandung,2026
Paddy Bags Studio (Bandung),belanja,-,Studio tas DIY di Jl. Soka No.23A Bandung tempat pengunjung bisa membuat tas sendiri dari 5 model pilihan dengan warna dan akrilik custom.,5.0,50000,200000,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFhszuRU9TYhGdH8wsklUL7pPMb_-KrraYuXqg0uRUS520uk320T0VQ88ycQNje0lXvagCopyLu7AtZGlZmQF_8Obs8Ih5bNcTRcEL4eQGNwyv2AvjlVnkMF62C7lcR3d81ojWUku6DRFE7=w408-h724-k-no,-6.915176374,107.6282247,https://www.google.com/maps/search/?api=1&query=Paddy+Bags+Studio+(Bandung)+Bandung,2020
Paddy Perfume Lab,belanja,-,"Paddy Perfume Lab di Jl. LLRE Martadinata No. 139, Bandung adalah experience store dari brand lokal Paddy, di mana pengunjung bisa meracik parfum sendiri sesuai kepribadian, dipandu oleh perfume specialist dengan atmosfer lab yang colorful dan playful.",5.0,50000,200000,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEFOVp5qvE7dtLHLaYbpSY3bf6Knw77oEwU8RmgNalqpizza7Nxv4Ugecc6AhZOBCxF3mGuoMKWrt_hfKjiB79i2OTjklfBMQKJa7vnFBLrkbKzy7F3ovB6sEgZlceyJlH7Kpdsf0xJMG8=w408-h544-k-no,-6.9086836,107.6247459,https://www.google.com/maps/search/?api=1&query=Paddy+Perfume+Lab+Bandung,2021
Paddy Playstore Backyard (Bandung),belanja,-,Brand lokal Bandung sejak 2017 yang menjual aneka aksesori custom lucu-lucu dengan interior warna-warni dan instagramable.,5.0,50000,200000,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGnd_v2zbaZxaDYndU_PYMaasNX2xA5BkjY8qJTkeAJ9MDHfDZZ5C_gTBG9-A0bKTQlbxHAXPyNt27RS8TbhUQr3xj72Ephma2aJrbBeOtp_s4EXWTkw1NWNDbVDiKmkZQgaog9kg=w408-h544-k-no,-6.9153534,107.6260638,https://www.google.com/maps/search/?api=1&query=Paddy+Playstore+Backyard+(Bandung)+Bandung,2022
Lighting Art Braga,wisata,hiburan,Destinasi wisata seni cahaya yang resmi dibuka 11 Desember 2025 di Jl. Braga No.103 Bandung. Menghadirkan lebih dari 24 spot foto instalasi cahaya artistik yang menawan di kawasan heritage Braga.,5.0,40000,100000,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGUChcd8EonlztVb-IfRato-DxQ-bzdUZDUVDp1QzHC3eRF-QBC-N-KZu91VZWDKUFf66uKwEC3pAROc_JS-SikLjhDIWZNot4Tzf71HZs2PaGkUIqA3BxPbN2c--S4qVnOM32Ad0J6XxcW=w408-h401-k-no,-6.9169318,107.6091155,https://www.google.com/maps/search/?api=1&query=Lighting+Art+Braga+Bandung,2024
On The Table Coffee & Culture,cafe,kuliner,Cafe dengan menu Western dan dessert dalam suasana estetik.,5.0,25000,50000,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEfJAxuF8IxefFSz-rR0xGoMF9lrR48rdURiFQESN2_1sC-LPv_nao120LrXy1SMlFSU4bHRCrFRNKUW4__08YZYGX24GPkivQCQuESwXieyB5QyRTD474cqCYNBzSI3Ukerc115pjkQ0oR=w408-h510-k-no,-6.904235,107.5968138,https://www.google.com/maps/search/?api=1&query=On+The+Table+Coffee+&+Culture+Bandung,2023
Redspoon Creamery,cafe,-,"Red Spoon adalah cafe yang menjual gelato, cocok untuk menghalau panas di siang hari!",5.0,25000,75000,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFya7Lwld3lqPOjwVVSSM-43K4TnwvxgeHlr8rH0FO4Ok2bmktU--aJV6uZbc0y-j0HQxOy2FItLeQCHLcwtCOFoMwP-PvYxR4O_Yfp5lI7Nb26sZpIp1rXRpXzntk_zqkHegqXy8iJDHux=w408-h544-k-no,-6.8794951,107.6032026,https://www.google.com/maps/search/?api=1&query=Redspoon+Creamery+Bandung,2023
Toko Roti Aromanis Halimun,kuliner,-,Toko Roti Aromanis adalah toko roti lokal yang menawarkan berbagai roti dan kue dengan harga terjangkau.,5.0,25000,50000,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEzW5dCMvuhluj-c0JzA_kc57m6dkua0sJDDzu0eVSp9su72r8quLdEZwEKW665JoUtXuz_aYHKxMVBic2rFHt1KwYk2ZwwZODtEfcz4NghCgc87xOJwoIAakDnovTWWQNPCtUF5bT5PaLJ=w408-h544-k-no,-6.9260647,107.620664,https://www.google.com/maps/search/?api=1&query=Toko+Roti+Aromanis+Halimun+Bandung,2026
Secercah Aroma,belanja,-,Secercah Aroma merupakan toko yang menyediakan berbagai parfum untuk kamu coba!,5.0,50000,100000,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG12qgS70a0dvgjWzsLp0WBeTSvXt5ICrUPKXkx-u5H6dUk52EGVWm_WUDccfzz1ylG7y50Zd-pctyAoVQt2yZ4ts2zdt0Suk_13G9kFN6frqqTptDz_i5w-b2dP8qDkOFAIQRXZDcss_Ns=w408-h544-k-no,-6.9109132,107.6277754,https://www.google.com/maps/search/?api=1&query=Secercah+Aroma+Bandung,2024
Toko Marantika,belanja,-,Toko Marantika merupakan kedai kopi yang nyaman untuk sekedar kumpul ataupun ngopi santai.,5.0,25000,50000,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGgjrGeU2UdY-Ih8syNm8xyKOn9LPX4W8ZcUvyfj6d0d8y2CpVz-wqTPBwSsZhUkM_ea-fcnlxH_rsCZrIA9pBkrFP4ahKVzM_FhJGSmWuAwpAIc61LRRAXSmyWS5rQRS1Ag9kzMWe74SMB=w408-h544-k-no,-6.9027384,107.6152613,https://www.google.com/maps/search/?api=1&query=Toko+Marantika+Bandung,2026
